Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 03/03/2020
Code Cohort   sdCMAB   sdCMAB40
JPN  1940       3.87       3.76
JPN  1941       3.81       3.71
JPN  1942       3.78       3.67
JPN  1943       3.77       3.65
JPN  1944       3.77       3.65
JPN  1945       3.81       3.68
JPN  1946       3.87       3.74
JPN  1947       3.92       3.78
JPN  1948       3.96       3.82
JPN  1949       4.01       3.87
JPN  1950       4.07       3.92
JPN  1951       4.12       3.97
JPN  1952       4.16       4.00
JPN  1953       4.18       4.02
JPN  1954       4.19       4.02
JPN  1955       4.19       4.01
JPN  1956       4.19       4.01
JPN  1957       4.21       4.03
JPN  1958       4.25       4.06
JPN  1959       4.31       4.11
JPN  1960       4.38       4.17
JPN  1961       4.45       4.23
JPN  1962       4.52       4.28
JPN  1963       4.58       4.33
JPN  1964       4.63       4.37
JPN  1965       4.69       4.40
JPN  1966       4.74       4.43
JPN  1967       4.79       4.46
JPN  1968          .       4.50
JPN  1969          .       4.57
JPN  1970          .       4.63
JPN  1971          .       4.68
JPN  1972          .       4.72
JPN  1973          .       4.76
JPN  1974          .       4.79
JPN  1975          .       4.81
JPN  1976          .       4.83
JPN  1977          .       4.86
LTU  1944       5.27       4.88
LTU  1945       5.23       4.87
LTU  1946       5.16       4.83
LTU  1947       5.20       4.91
LTU  1948       5.21       4.95
LTU  1949       5.17       4.91
LTU  1950       5.14       4.89
LTU  1951       5.11       4.88
LTU  1952       5.11       4.87
LTU  1953       5.05       4.83
LTU  1954       5.00       4.78
LTU  1955       4.94       4.72
LTU  1956       4.87       4.62
LTU  1957       4.81       4.55
LTU  1958       4.83       4.54
LTU  1959       4.84       4.56
LTU  1960       4.88       4.59
LTU  1961       4.90       4.60
LTU  1962       4.87       4.56
LTU  1963       4.94       4.62
LTU  1964       5.01       4.68
LTU  1965       5.08       4.74
LTU  1966       5.12       4.76
LTU  1967       5.19       4.84
LTU  1968          .       4.94
LTU  1969          .       5.07
LTU  1970          .       5.25
LTU  1971          .       5.38
LTU  1972          .       5.52
LTU  1973          .       5.62
LTU  1974          .       5.73
LTU  1975          .       5.74
LTU  1976          .       5.84
LTU  1977          .       5.81
NLD  1935       4.60       4.41
NLD  1936       4.52       4.34
NLD  1937       4.46       4.27
NLD  1938       4.42       4.21
NLD  1939       4.38       4.17
NLD  1940       4.43       4.17
NLD  1941       4.37       4.15
NLD  1942       4.46       4.21
NLD  1943       4.46       4.23
NLD  1944       4.51       4.29
NLD  1945       4.59       4.35
NLD  1946       4.64       4.43
NLD  1947       4.71       4.50
NLD  1948       4.82       4.59
NLD  1949       4.88       4.65
NLD  1950       4.99       4.75
NLD  1951       5.05       4.81
NLD  1952       5.10       4.86
NLD  1953       5.13       4.90
NLD  1954       5.15       4.91
NLD  1955       5.12       4.89
NLD  1956       5.10       4.85
NLD  1957       5.08       4.83
NLD  1958       5.02       4.76
NLD  1959       5.00       4.74
NLD  1960       5.03       4.76
NLD  1961       5.01       4.74
NLD  1962       5.06       4.78
NLD  1963       5.05       4.77
NLD  1964       5.06       4.77
NLD  1965       5.04       4.75
NLD  1966       5.00       4.72
NLD  1967          .       4.69
NLD  1968          .       4.70
NLD  1969          .       4.69
NLD  1970          .       4.69
NLD  1971          .       4.70
NLD  1972          .       4.71
NLD  1973          .       4.71
NLD  1974          .       4.70
NLD  1975          .       4.67
NLD  1976          .       4.64
NOR  1952       5.53       5.25
NOR  1953       5.62       5.34
NOR  1954       5.72       5.40
NOR  1955       5.68       5.41
